names,imag+zpve,u298,h298,g298,gap,dipX,dipY,dipZ,dipTotal,core,Tetrahedral_count,Unconnected_triangles_count,Triangles_with_1_shared_vertex_count,Triangles_with_2_shared_vertices_count
AuTM-1.xyz.1315600.hpc-mn1.out , -4.54      9.35       0.361254792113 ,-126.5161928,-126.1146306,-126.2263678,1.947793833,-1.8152,2.4689,-3.5907,11.998,1,0,0,0,0
AuTM-2.xyz.1315601.hpc-mn1.out , 5.26       5.70       0.300816191820 ,-75.05944723,-74.73135102,-74.81607798,0.536785433,1.707,-12.6958,-6.9454,37.038,1,0,0,0,0
AuTM-3.xyz.1315602.hpc-mn1.out , 5.72       7.27       0.414537168724 ,-220.3425018,-219.8605136,-220.0260966,1.281812673,1.057,0.0231,-1.4388,4.538,1,0,0,0,0
AuTM-4.xyz.1315603.hpc-mn1.out , 11.56      27.95      0.330145801891 ,-78.20326763,-77.84437766,-77.93153891,2.252962098,6.8291,3.2187,0.0003,19.189,1,0,0,0,0
AuTM-5.xyz.1315604.hpc-mn1.out , 1.77       38.84      0.244731836526 ,-32.38441655,-32.12464079,-32.18258757,4.939548759,1.6536,9.0627,20.8189,57.866,1,0,0,0,0
AuTM-6.xyz.1315605.hpc-mn1.out , 13.58      20.92      0.776638170997 ,-118.4105334,-117.5840005,-117.7123248,3.073941042,4.1397,-1.9974,-0.1827,11.692,1,0,0,0,0
AuTM-7.xyz.1315606.hpc-mn1.out , 4.80       6.88       0.475885131183 ,-99.69479504,-99.18255058,-99.28602413,2.616507768,-0.1585,-3.5396,-2.8193,11.509,1,0,0,0,0
AuTM-8.xyz.1315607.hpc-mn1.out , 9.83       12.99      0.196936306813 ,-46.30824267,-46.09203679,-46.15973846,2.916414161,2.3105,-2.6291,1.876,10.094,1,0,0,0,0
AuTM-9.xyz.1315608.hpc-mn1.out , 10.47      12.59      1.122313552244 ,-176.3902311,-175.1965701,-175.367179,2.376439653,24.1477,0.063,34.677,107.405,1,0,0,0,0
AuTM-10.xyz.1315609.hpc-mn1.out , 8.18       12.32      0.583702459986 ,-117.9281439,-117.2999987,-117.4190142,2.087541753,-0.4346,-0.2143,4.1214,10.548,1,0,0,0,0
